model,target_mode,horizon,mean_ic,ic_volatility,rmse,correlation,spearman_rank_correlation,top_quantile_mean_return,bottom_quantile_mean_return,mean_quantile_spread,annualized_return,annualized_gross_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover,return_per_unit_turnover,benchmark_annualized_return,excess_annualized_return_vs_benchmark
ridge,cross_sectional_rank,5,0.008739096337998069,0.2515768480069168,0.2890943779575975,0.014596073516572026,0.011275692878963333,0.005367559582495731,0.0038329776548472203,0.0015345819276485113,-0.010482598040725377,-0.006452265814717029,0.09037234124432418,-0.11599343224256387,-0.34692049101016686,0.032257346310238195,-0.3249677744693553,0.15376292174704442,-0.1642455197877698
mlp,cross_sectional_rank,5,0.02244446686512117,0.19934220494395805,0.29311297694538746,0.02430296734561222,0.02112315024746624,0.006021101600425793,0.0033510939089827743,0.00267000769144302,-0.010439423593130326,-0.006746716462487257,0.08830139220693,-0.11822490373272991,-0.32101098295795893,0.029564544142680817,-0.3531061917528255,0.15376292174704442,-0.16420234534017475
tree,cross_sectional_rank,5,0.015343576621764284,0.19966665149815938,0.28992258292114675,0.020674434778521333,0.015498762531574813,0.004894199947250774,0.0035058932671411095,0.0013871071068623467,-0.023772895038509434,-0.019019395972523778,0.09257269062282099,-0.2568024638645314,-0.34668848466301205,0.03853855096623018,-0.6168601164932406,0.15376292174704442,-0.17753581678555386
tree,cross_sectional_rank,10,0.022099679434885274,0.19906602350457056,0.2903044647712374,0.02250873755690946,0.01982721433467447,0.00998850378497021,0.007693814061165979,0.002299659099543978,-0.010275542658678138,-0.0054940713493639715,0.09236549426900365,-0.11124871620079062,-0.3302150860487777,0.03824728736400351,-0.26866069117228375,0.14851575597267352,-0.15879129863135166
ridge,cross_sectional_rank,10,0.004129454749283104,0.24664558253422367,0.289090574899386,0.02004487079602088,0.00961255618676973,0.010124187501510304,0.009367696839480757,0.0007564906620295465,-0.01224921342037455,-0.008408713317526129,0.0896009494633037,-0.1367085225518871,-0.34303958958735914,0.03078412471031799,-0.3979068281343387,0.14851575597267352,-0.16076496939304807
mlp,cross_sectional_rank,10,0.014553371544973872,0.2072000228449215,0.29447585906018986,0.018603952184839193,0.013581293943772452,0.009382843104208973,0.007918029382115601,0.0014648137220933713,-0.022729076856714103,-0.019103698006850744,0.08894368296981081,-0.25554458841589445,-0.34114640070485214,0.029379354730460674,-0.77364111857598,0.14851575597267352,-0.17124483282938763
tree,cross_sectional_rank,20,0.01021951979489251,0.2031631687751141,0.29203512206622834,0.008587366152468405,0.011070862886786628,0.015518778276095707,0.017293583330240964,-0.0017791915761458808,0.0025850086888794532,0.006858811467574277,0.09038984200649185,0.028598442385747245,-0.3212118937846581,0.03376850835942351,0.07655086986269193,0.14993995127291937,-0.14735494258403992
ridge,cross_sectional_rank,20,0.0032525586812143636,0.2499480518754924,0.28958842098365795,0.013055231952170657,0.009613688076868823,0.015855938898172803,0.01793067067613438,-0.002074731777961581,-0.014768800490837397,-0.011665512670270828,0.08938281485782919,-0.16523087256010457,-0.33703952220055766,0.02494850651001598,-0.5919713264162014,0.14993995127291937,-0.16470875176375677
mlp,cross_sectional_rank,20,0.019436439689842662,0.19095422096918205,0.2955391843014139,0.013936125537714828,0.015622839265699838,0.016029741945038322,0.013946591330853004,0.0020831506141853195,-0.015777945704221197,-0.012158591246305694,0.08845766389430665,-0.17836719860783826,-0.3352232638874396,0.02912898721612188,-0.5416578883143817,0.14993995127291937,-0.16571789697714057
